Citation	Full Reference	Data Type	Resource Type	Resource Type Comment	Methods	Methods Comment	Location	Year	Accession	Accession Type
490	Wagner, W. (n.d.). Europäische Heuschrecken und ihre Ökologie: Leptophyes punctatissima. Retrieved 1 May 2023, from http://www.pyrgus.de/Leptophyes_punctatissima.html	Analogue	Scientific website		NA		Europe	NA	http://www.pyrgus.de/Leptophyes_punctatissima.html	URL
491	Henriques-Oliveira, A. L., Nessimian, J. L., & Dorvillé, L. F. M. (2003). Feeding habits of Chironomid larvae (Insecta: Diptera) from a stream in the Floresta da Tijuca, Rio de Janeiro, Brazil. Brazilian Journal of Biology, 63, 269–281. https://doi.org/10.1590/S1519-69842003000200012	Analogue	Primary literature		Visual observation		Brazil	2003	10.1590/s1519-69842003000200012	DOI
492	Westrich, P. (2023). Oligolektische Arten nach Pflanzenfamilien geordnet [Wildbienen: Grandiose Vielfalt]. https://www.wildbienen.info/bluetenbesuch/oligolektische_arten_nach_pflanzenfamilien.php	Analogue	Scientific website		NA		Germany	2023	https://www.wildbienen.info/bluetenbesuch/oligolektische_arten_nach_pflanzenfamilien.php	URL
493	Marfus, V., Quinn, M., & DiGirolomono, M. (2015). Species Cyclorhipidion bodoanum. https://bugguide.net/node/view/611169	Analogue	Scientific website		NA		North America	2015	https://bugguide.net/node/view/611169	URL
494	Gebhardt, H., & Bense, U. (2016). Erstfund von Dryocoetes himalayensis Strohmeyer (Coleoptera, Curculionidae, Scolytinae) in Deutschland. Mitteilungen Des Entomologischen Vereins Stuttgart, 51(2016), 69–73.	Analogue	Primary literature		NA		Germany	2016	https://www.zobodat.at/publikation_articles.php?id=306317	URL
495	Soldier beetle. (2023). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Soldier_beetle&oldid=1158577940	Analogue	Voluntary website		NA		NA	2023	https://en.wikipedia.org/w/index.php?title=Soldier_beetle&oldid=1158577940	URL
496	Bartlett, T., Coin, P., Cresswel, S., Moisset, B., Harpootlian, P., Friedman, E., Elliott, L., Quinn, M., Moyer, T., Bueche, B., Marfus, V., Mathison, B., & Santos, A. (2023). Family Elateridae—Click Beetles. https://bugguide.net/node/view/115	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/115	URL
497	Dung beetle. (2023). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Dung_beetle&oldid=1171444435	Analogue	Voluntary website		NA		NA	2023	https://en.wikipedia.org/w/index.php?title=Dung_beetle&oldid=1171444435	URL
498	Spider. (2023). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Spider&oldid=1173720206	Analogue	Voluntary website		NA		NA	2023	https://en.wikipedia.org/w/index.php?title=Spider&oldid=1173720206	URL
499	Martin, H. (n.d.). Wollbienen: Anthidium byssinum. Retrieved 1 May 2023, from https://www.wildbienen.de/eb-abyss.htm	Analogue	Scientific website		NA		NA	NA	https://www.wildbienen.de/eb-abyss.htm	URL
500	Rey, A., & Frey, D. (2022). Große Sandgängerbiene. Bee-Finder. https://www.bee-finder.ch/de/insekten/ammobates-punctatus/	Analogue	Scientific website		NA		Switzerland	2022	https://www.bee-finder.ch/de/insekten/ammobates-punctatus/	URL
501	Ulmer Verlag Eugen. (n.d.). Lasioglossum aeratum: Wildbienen bestimmen - - Wildbienenwelt.de. Retrieved 2 May 2023, from https://www.wildbienenwelt.de/wildbienen-bestimmen/wildbienen-finder/article-6515708-190818/lasioglossum-aeratum-.html?HPARAMS=B78E16E99FCF7A15A7CCF49867EB2571EDE77287B99F8CDF49F9CBF516D6C1BB4D4536DA1F2260D10CD7F20054DFEBF23FC98E1C06F4AE119A0498762EFD3547D8E16E1C770A30FCB5AAC056D53AE7BBF31EF339F8AE0AC53782BA59A530998C92279FA5B641709D9FD76A0326597F30361EA012DB28A7C64A8023436D81D338BDC69BBF6642A9AC3931A58FBB6E99B111C9494F0A	Analogue	Scientific website		NA		NA	2023	https://www.wildbienenwelt.de/wildbienen-bestimmen/wildbienen-finder/article-6515708-190818/lasioglossum-aeratum-.html?HPARAMS=B78E16E99FCF7A15A7CCF49867EB2571EDE77287B99F8CDF49F9CBF516D6C1BB4D4536DA1F2260D10CD7F20054DFEBF23FC98E1C06F4AE119A0498762EFD3547D8E16E1C770A30FCB5AAC056D53AE7BBF31EF339F8AE0AC53782BA59A530998C92279FA5B641709D9FD76A0326597F30361EA012DB28A7C64A8023436D81D338BDC69BBF6642A9AC3931A58FBB6E99B111C9494F0A	URL
502	CSCF. (2017). Info fauna | Data Server. info fauna Nationales Daten- und Informationszentrum der Schweizer Fauna. https://lepus.infofauna.ch/tab/	Digital	Scientific website		Metaanalysis		Switzerland	2017	https://lepus.infofauna.ch/tab/	URL
503	Roesti, C., & Rutschmann, F. (n.d.). Orthoptera.ch – Wiki-Arten. Retrieved 15 August 2023, from https://www.orthoptera.ch/wiki/arten	Analogue	Scientific website		NA		Switzerland	2023	https://www.orthoptera.ch/arten	URL
504	Südlicher Warzenbeißer. (2023). In Wikipedia. https://de.wikipedia.org/w/index.php?title=S%C3%BCdlicher_Warzenbei%C3%9Fer&oldid=251233233	Analogue	Voluntary website		NA		NA	2023	https://de.wikipedia.org/w/index.php?title=S%C3%BCdlicher_Warzenbei%C3%9Fer&oldid=251233233	URL
505	Lipovšek, S., Novak, T., Janžekovič, F., & Pabst, M. A. (2011). Role of the fat body in the cave crickets Troglophilus cavicola and Troglophilus neglectus (Rhaphidophoridae, Saltatoria) during overwintering. Arthropod Structure & Development, 40(1), 54–63. https://doi.org/10.1016/j.asd.2010.09.002	Analogue	Primary literature		Experimental observation		NA	2011	10.1016/j.asd.2010.09.002	DOI
506	Morin, D. (1995). Saga: Willemse, 1995. https://web.archive.org/web/20230412112355/http://www.onem-france.org/saga/wakka.php?wiki=Willemse1995	Analogue	Voluntary website		Metaanalysis		NA	1995	https://web.archive.org/web/20230412112355/http://www.onem-france.org/saga/wakka.php?wiki=Willemse1995	URL
507	Petruso, D., Locatelli, E., Surdi, G., Valle, C. D., Masini, F., & Sala, B. (2011). Phylogeny and biogeography of fossil and extant Microtus (Terricola) (Mammalia, Rodentia) of Sicily and the southern Italian peninsula based on current dentalmorphological data. Quaternary International, 243(1), 192–203. https://doi.org/10.1016/j.quaint.2011.03.013	Analogue	Primary literature		NA		Italy	2011	10.1016/j.quaint.2011.03.013	DOI
508	Uetz, P., Hallermann, J., Freed, P., Reyes, F., Kudera, J., & Hošek, J. (n.d.). Anguis veronensis. The Reptile Database. Retrieved 15 September 2023, from https://reptile-database.reptarium.cz/species.php?genus=Anguis&species=veronensis	Analogue	Scientific website		NA		Italy	NA	https://reptile-database.reptarium.cz/species.php?genus=Anguis&species=veronensis	URL
509	Mirabasso, J., Bissattini, A. M., Bologna, M. A., Luiselli, L., Stellati, L., & Vignoli, L. (2020). Feeding Strategies of Co-occurring Newt Species across Different Conditions of Syntopy: A Test of the “Within-Population Niche Variation” Hypothesis. Diversity, 12(5), Article 5. https://doi.org/10.3390/d12050181	Analogue	Primary literature		Morphological analysis	Morphological analysis of gut with stomach flushing	Italy	2020	10.3390/d12050181	DOI
510	Roner, L., Costa, A., Pedrini, P., Matteucci, G., Leonardi, S., & Romano, A. (2020). A Midsummer Night’s Diet: Snapshot on Trophic Strategy of the Alpine Salamander, Salamandra atra. Diversity, 12(5), Article 5. https://doi.org/10.3390/d12050202	Analogue	Primary literature		Morphological analysis	Morphological analysis of gut with stomach flushing	Italy	2020	10.3390/d12050202	DOI
511	Marques, A. J. D., Mata, V. A., & Velo-Antón, G. (2022). COI Metabarcoding Provides Insights into the Highly Diverse Diet of a Generalist Salamander, Salamandra salamandra (Caudata: Salamandridae). Diversity, 14(2), Article 2. https://doi.org/10.3390/d14020089	Digital	Primary literature		Morphological analysis	Morphological analysis of gut contents	Portugal; Spain	2022	10.3390/d14020089	DOI
512	Pasquet, A., Cardot, J., & Leborgne, R. (2007). Wasp Attacks and Spider Defence in the Orb Weaving Species Zygiella x-notata. Journal of Insect Behavior, 20(6), 553–564. https://doi.org/10.1007/s10905-007-9098-8	Analogue	Primary literature		Visual observation		France	2007	10.1007/s10905-007-9098-8	DOI
513	Piercy, K. (2022, June 24). Here’s ‘What kills millipedes?’ (List of Animals). https://meadowia.com/heres-what-kills-millipedes/	Analogue	Voluntary website		NA		Global	2022	https://meadowia.com/heres-what-kills-millipedes/	URL
514	Vespidae. (1999). Lexikon der Biologie, Spektrum. https://www.spektrum.de/lexikon/biologie/vespidae/69497	Analogue	Scientific website		NA		Europe	1999	https://www.spektrum.de/lexikon/biologie/vespidae/69497	URL
515	Haselböck, A. (2022). Anthidiellum strigatum (syn. Anthidium strigatum) / Zwergharzbiene / ‘Blattschneiderbienenartige’—Megachilidae. https://www.naturspaziergang.de/Wildbienen/Megachilinae/Anthidiellum_strigatum.htm	Analogue	Voluntary website		NA		Germany	2023	https://www.naturspaziergang.de/Wildbienen/Megachilinae/Anthidiellum_strigatum.htm	URL
516	Paukkunen, J., Berg, A., Soon, V., Ødegaard, F., & Rosa, P. (2016, March 18). Chrysura hirsuta. Artsdatabanken. https://artsdatabanken.no/Pages/201004/Haaret_biegullveps	Analogue	Scientific website		NA		Europe	2016	https://artsdatabanken.no/Pages/201004/Haaret_biegullveps	URL
517	Scudder, G. G. E., & Cannings, R. A. (2007). Description of Families of LEPIDOPTERA. Lepidoptera and Associated Orders of British Columbia. https://www.zoology.ubc.ca/bclepetal/Order%20Lepidoptera%20et%20al%20Text%20Files/order_lepidoptera.htm	Analogue	Scientific website		NA		Canada	2007	 https://www.zoology.ubc.ca/bclepetal/Order%20Lepidoptera%20et%20al%20Text%20Files/order_lepidoptera.htm	URL
518	Rollwespen. (2023). In Wikipedia. https://de.wikipedia.org/w/index.php?title=Rollwespen&oldid=235577670	Analogue	Voluntary website		NA		NA	2023	https://de.wikipedia.org/w/index.php?title=Rollwespen&oldid=235577670	URL
519	Westrich, P. (2023). Steckbrief: Lithurgus chrysurus. Faszination Wildbienen. https://www.wildbienen.info/steckbriefe/lithurgus_chrysurus.php	Analogue	Scientific website		NA		Germany	2023	https://www.wildbienen.info/steckbriefe/lithurgus_chrysurus.php	URL
520	Pantaloon Bee. (n.d.). Retrieved 3 January 2023, from https://web.archive.org/web/20230321081922/https://a-z-animals.com/animals/pantaloon-bee/	Analogue	Institutional website		NA		NA	2023	https://web.archive.org/web/20230321081922/https://a-z-animals.com/animals/pantaloon-bee/	URL
521	Ruchin, A., & Artaev, O. (2016). On expansion of the distribution range of some scoliid wasps (Scoliidae, Hymenoptera, Insecta) in the Middle Volga region. Research Journal of Pharmaceutical, Biological and Chemical Sciences, 7, 2110–2115.	Analogue	Primary literature		Visual observation		Russia	2016	https://www.researchgate.net/publication/301794154_On_expansion_of_the_distribution_range_of_some_scoliid_wasps_Scoliidae_Hymenoptera_Insecta_in_the_Middle_Volga_region	URL
522	Scolia hirta—Žahalka žlutá | Scoliidae—Žahalkovití | Natura Bohemica. (2008). http://www.naturabohemica.cz/scolia-hirta/	Analogue	Scientific website		NA		Europe	2008	http://www.naturabohemica.cz/scolia-hirta/	URL
523	CABI. (2019). Endromis versicolora. CABI Compendium, CABI Compendium, 21112. https://doi.org/10.1079/cabicompendium.21112	Analogue	Primary literature		NA		Europe	2022	10.1079/cabicompendium.21112	DOI
524	Vaughan, N. (1997). The diets of British bats (Chiroptera). Mammal Review, 27(2), 77–94. https://doi.org/10.1111/j.1365-2907.1997.tb00373.x	Analogue	Primary literature		Visual observation; Morphological analysis	Morphological analysis of gut contents	United Kingdom	1997	10.1111/j.1365-2907.1997.tb00373.x	DOI
525	Corcoran, A. J., & Conner, W. E. (2016). How moths escape bats: Predicting outcomes of predator–prey interactions. Journal of Experimental Biology, 219(17), 2704–2715. https://doi.org/10.1242/jeb.137638	Analogue	Primary literature		Experimental observation		NA	2016	10.1242/jeb.137638	DOI
526	Murphy, S. M., Leahy, S. M., Williams, L. S., & Lill, J. T. (2010). Stinging spines protect slug caterpillars (Limacodidae) from multiple generalist predators. Behavioral Ecology, 21(1), 153–160. https://doi.org/10.1093/beheco/arp166	Analogue	Primary literature		Experimental observation		NA	2009	10.1093/beheco/arp166	DOI
527	Legner, E. (n.d.). Biological Control of Spiny Bollworms< earias spp. Retrieved 15 September 2023, from https://faculty.ucr.edu/~legneref/biotact/ch-100.htm	Analogue	Scientific website		NA		Australia; India	NA	https://faculty.ucr.edu/~legneref/biotact/ch-100.htm	URL
528	Geiselman, C. K., & Ember, S. (2020). Bat Eco-Interactions Database. www.batbase.org, version (28.06.2023)	Digital	Database		Metaanalysis		Global	2020	https://www.batbase.org	URL
529	Hättenschwiler, P. (1985). Psychidae. In Heath, J., Maitland, E.A., Fletcher, D.S., Pelham-Clinton, E.C., and Tremewan, W.D. (eds). The moths and butterflies of Great Britain and Ireland: Cossidae-Heliodinidae (Vol. 2, pp. 146–148). Harley.	Analogue	Book section		NA		United Kingdom	1985	978-09-4658-919-7	ISBN-13
530	Potter, D. (2008). Clearwing Moths (Lepidoptera: Sesiidae). In J. L. Capinera (Ed.), Encyclopedia of Entomology (pp. 928–928). Springer Netherlands. https://doi.org/10.1007/978-1-4020-6359-6_5123	Analogue	Book section		NA		NA	2008	10.1007/978-1-4020-6359-6_5123	DOI
531	Rubin, J. J., Hamilton, C. A., McClure, C. J. W., Chadwell, B. A., Kawahara, A. Y., & Barber, J. R. (2018). The evolution of anti-bat sensory illusions in moths. Science Advances, 4(7), eaar7428. https://doi.org/10.1126/sciadv.aar7428	Analogue	Primary literature		Experimental observation		USA	2018	10.1126/sciadv.aar7428	DOI
532	Bagworm moth. (2023). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Bagworm_moth&oldid=1167890701	Analogue	Voluntary website		NA		NA	2023	https://en.wikipedia.org/w/index.php?title=Bagworm_moth&oldid=1167890701	URL
533	Haarder, S., & Mąkol, J. (2022). Terrestrial Parasitengona mites (Trombidiformes) of Denmark – new data on parasite-host associations and new country records. Acarologia, 62(2), Article 2. https://doi.org/10.24349/yglc-mnck	Analogue	Primary literature		Visual observation		Denmark	2022	10.24349/yglc-mnck	DOI
534	Checkered beetle | Woodland, Ground-dwelling, Coleoptera. (1998). In Encyclopedia Britannica. https://www.britannica.com/animal/checkered-beetle	Analogue	Book	Encyclopedia	NA		NA	1998	https://www.britannica.com/animal/checkered-beetle	URL
535	Martynov, V. O. (2017). Parasites of beetles which are pests of grain and products of its processing. Biosystems Diversity, 25(4), Article 4. https://doi.org/10.15421/011751	Analogue	Primary literature		Metaanalysis		Ukraine	2018	10.15421/011751	DOI
536	Shepard, W. (1976). Records and notes concerning Derodontus maculatus (Mels.) (Coleoptera: Derodontidae). Southwestern Entomologist, 1, 168–170.	Analogue	Primary literature		Metaanalysis		USA	1976	https://www.researchgate.net/publication/280000376_Records_and_notes_concerning_Derodontus_maculatus_Mels_Coleoptera_Derodontidae	URL
537	Bharathi, V. S. K., Jian, F., & Jayas, D. S. (2023). Biology, Ecology, and Behavior of Rusty Grain Beetle (Cryptolestes ferrugineus (Stephens)). Insects, 14(7), Article 7. https://doi.org/10.3390/insects14070590	Analogue	Primary literature		Metaanalysis		NA	2023	10.3390/insects14070590	DOI
538	Capinera, J. L. (2004). Striped Blister Beetle, Epicauta vittata (Fabricius) (Coleoptera: Meloidae): EENY280/IN556, 1/2003. EDIS, 2004(18), Article 18. https://doi.org/10.32473/edis-in556-2003	Analogue	Primary literature		NA		North America	2004	10.32473/edis-in556-2003	DOI
539	Schaufelkäfer. (2021). In Wikipedia. https://de.wikipedia.org/w/index.php?title=Schaufelk%C3%A4fer&oldid=216528933	Analogue	Voluntary website		NA		NA	2021	https://de.wikipedia.org/w/index.php?title=Schaufelk%C3%A4fer&oldid=216528933	URL
540	Haeseler, V. (1975). Pterocheilus phaleratus (Hymenoptera: Vespoidea), ein Nektardieb an den Blüten von Lotus corniculatus (Fabales: Fabaceae). Entomologica Germanica, 213–221. https://doi.org/10.1127/entom.germ/1/1975/213	Analogue	Primary literature		Visual observation		Germany	1975	10.1127/entom.germ/1/1975/213	DOI
541	Witt, R. (2009). Wespen (2., überarb. und erw. Aufl.). Vademecum-Verlag.	Analogue	Book		NA		Europe	2009	978-39-8132-840-0	ISBN-13
542	Bellmann, H. (1995). Bienen, Wespen, Ameisen: Hautflügler Mitteleuropas. Balogh Scientific Books.	Analogue	Book	Identification literature	NA		Central Europe	1995	10.1002/mmnz.20000760117	DOI
543	Wagner, W. (n.d.). Zanclognatha lunalis. Europäische Schmetterlinge Und Ihre Ökologie. http://www.pyrgus.de/Zanclognatha_lunalis.html	Analogue	Scientific website		NA		Europe	NA	http://www.pyrgus.de/Zanclognatha_lunalis.html	URL
544	Rey, A., & Frey, D. (2022). Gabel-Sandbiene. Bee-Finder. https://www.bee-finder.ch/de/insekten/andrena-florivaga/	Analogue	Scientific website		NA		Switzerland	2022	https://www.bee-finder.ch/de/insekten/andrena-florivaga/	URL
545	Jonko, C. (2023). Lepidoptera Mundi: Agrochola (Anchoscelis) pistacinoides (d’Aubuisson, 1867). https://lepidoptera.eu/species/5237	Analogue	Scientific website		NA		Switzerland	2023	https://lepidoptera.eu/species/5237	URL
546	Robinson, G. S., Ackery, P. R., Kitching, I., Beccaloni, G. W., & Hernández, L. M. (2023). HOSTS - a Database of the World’s Lepidopteran Hostplants. Natural History Museum. https://doi.org/10.5519/HAVT50XW	Digital	Database		Metaanalysis		Global	2023	10.5519/HAVT50XW	DOI
547	South, R. (1920). Trifinae. In Moths of the British Isles / by Richard South. Frederick Warne & Co. https://en.wikisource.org/w/index.php?title=The_Moths_of_the_British_Isles/Chapter_15&oldid=11763896	Analogue	Scientific website		NA		United Kingdom	1920	https://en.wikisource.org/w/index.php?title=The_Moths_of_the_British_Isles/Chapter_15&oldid=11763896	URL
548	Ziegler, H. (2019). Coenonympha darwiniana. Schmetterlinge Der Schweiz - Butterflies & Moths of Switzerland. https://www.pieris.ch/seiten/main.php?page=art&art=nym_darwiniana	Analogue	Scientific website		NA		Switzerland	2019	https://www.pieris.ch/seiten/main.php?page=art&art=nym_darwiniana	URL
